,Athlete_ID_x,Fight_Result,Wins_x,Losses_x,Takedowns_Ratio_x,Fighting_Category_x,Age_x,Streak_Athlete_ID_x,Significant_Strikes_Ratio_x,Athlete_ID_y,Wins_y,Losses_y,Fighting_Category_y,Age_y,Streak_Athlete_ID_y,Takedowns_Ratio_y,Significant_Strikes_Ratio_y,Fight_Style_Matchup,Age_diff,Height_diff,Weight_diff,Reach_diff,Significant_Strikes_Ratio_diff,Takedowns_Ratio_diff,Streak_Athlete_ID_diff
6226,jessica-rose-clark,0,11,9,0.14285714285714285,Striking,32.0,-2,0.5160051216389244,stephanie-egger,8,5,Grappling,32.0,-2,0.23809523809523808,0.46511627906976744,Striking vs Grappling,0.0,-1.0,0.5,-3.5,0.05088884256915699,-0.09523809523809523,0
115,ailin-perez,0,12,2,0.02040816326530612,Striking,27.0,-1,0.5491606714628298,stephanie-egger,8,5,Grappling,32.0,-3,0.23809523809523808,0.46511627906976744,Striking vs Grappling,-5.0,-1.0,0.0,-2.0,0.08404439239306233,-0.21768707482993196,2
9222,mayra-bueno-silva,1,10,4,0.0,Striking,30.0,2,0.5914249684741488,stephanie-egger,8,5,Grappling,32.0,1,0.23809523809523808,0.46511627906976744,Striking vs Grappling,-2.0,0.0,-10.0,-1.5,0.1263086894043814,-0.23809523809523808,1
5425,irina-alekseeva,1,5,2,0.0,Grappling,31.0,1,0.4342105263157895,stephanie-egger,8,5,Grappling,33.0,2,0.23809523809523808,0.46511627906976744,Grappling vs Grappling,-2.0,2.0,6.0,-68.0,-0.030905752753977944,-0.23809523809523808,-1
8188,luana-santos,1,8,2,0.0,Grappling,22.0,1,0.5129032258064516,stephanie-egger,8,5,Grappling,33.0,3,0.23809523809523808,0.46511627906976744,Grappling vs Grappling,-11.0,0.0,-9.0,-1.0,0.04778694673668421,-0.23809523809523808,-2
8605,marcus-brimage,1,7,5,0.0,Striking,24.0,1,0.3560267857142857,stephen-bass,10,1,Striking,26.0,1,0.0,0.5214285714285715,Striking vs Striking,-2.0,-5.0,-9.0,71.0,-0.16540178571428577,0.0,0
3078,dan-stittgen,0,7,3,0.0,Striking,29.0,-1,0.4634146341463415,stephen-thompson,17,8,Striking,28.0,-1,0.4166666666666667,0.4602649006622517,Striking vs Striking,1.0,1.0,-1.0,-75.0,0.0031497334840898117,-0.4166666666666667,0
8938,matt-brown,1,26,19,0.3484848484848485,Striking,29.0,1,0.5544290288153682,stephen-thompson,17,8,Striking,28.0,1,0.4166666666666667,0.4602649006622517,Striking vs Striking,1.0,0.0,-1.0,0.0,0.09416412815311648,-0.06818181818181818,0
9842,nah-shon-burrell,0,9,3,0.0,Striking,21.0,-1,0.47657841140529533,stephen-thompson,17,8,Striking,29.0,-1,0.4166666666666667,0.4602649006622517,Striking vs Striking,-8.0,-1.0,0.0,1.0,0.016313510743043658,-0.4166666666666667,0
2328,chris-clements,0,12,5,0.0,Striking,35.0,-1,0.4984894259818731,stephen-thompson,17,8,Striking,29.0,-2,0.4166666666666667,0.4602649006622517,Striking vs Striking,6.0,-2.0,-1.0,-5.0,0.03822452531962145,-0.4166666666666667,1
11376,robert-whittaker,0,27,8,0.09523809523809523,Grappling,23.0,-1,0.43063856558666247,stephen-thompson,17,8,Striking,30.0,-3,0.4166666666666667,0.4602649006622517,Grappling vs Striking,-7.0,0.0,14.5,-1.5,-0.029626335075589205,-0.32142857142857145,2
10434,patrick-cote,0,24,11,0.0,Grappling,32.0,-2,0.0,stephen-thompson,17,8,Striking,30.0,-4,0.4166666666666667,0.4602649006622517,Grappling vs Striking,2.0,-1.0,-1.0,-4.0,-0.4602649006622517,-0.4166666666666667,2
5631,jake-ellenberger,0,31,15,0.0,Grappling,28.0,-1,0.0,stephen-thompson,17,8,Striking,31.0,-5,0.4166666666666667,0.4602649006622517,Grappling vs Striking,-3.0,-3.0,-1.0,-3.5,-0.4602649006622517,-0.4166666666666667,4
11519,rory-macdonald,0,18,4,0.0,Grappling,24.0,-1,0.0,stephen-thompson,17,8,Striking,32.0,-6,0.4166666666666667,0.4602649006622517,Grappling vs Striking,-8.0,0.0,-0.5,1.0,-0.4602649006622517,-0.4166666666666667,5
6742,johny-hendricks,0,18,8,0.0,Grappling,31.0,-1,0.0,stephen-thompson,17,8,Striking,32.0,-7,0.4166666666666667,0.4602649006622517,Grappling vs Striking,-1.0,-3.0,14.800000000000011,-6.0,-0.4602649006622517,-0.4166666666666667,6
6904,jorge-masvidal,0,35,17,0.2542372881355932,Striking,30.0,-1,0.47991279975085643,stephen-thompson,17,8,Striking,33.0,-8,0.4166666666666667,0.4602649006622517,Striking vs Striking,-3.0,-1.0,0.0,-1.0,0.01964789908860476,-0.16242937853107348,7
3292,darren-till,1,18,5,0.23076923076923078,Striking,23.0,4,0.4681647940074906,stephen-thompson,17,8,Striking,34.0,1,0.4166666666666667,0.4602649006622517,Striking vs Striking,-11.0,0.0,13.5,-0.5,0.00789989334523894,-0.1858974358974359,3
989,anthony-pettis,1,24,10,0.3333333333333333,Striking,30.0,2,0.47564169722367733,stephen-thompson,17,8,Striking,35.0,2,0.4166666666666667,0.4602649006622517,Striking vs Striking,-5.0,-2.0,-1.0,-2.5,0.015376796561425654,-0.08333333333333337,0
4793,geoff-neal,0,16,6,0.0,Striking,30.0,-1,0.5106382978723404,stephen-thompson,17,8,Striking,37.0,-1,0.4166666666666667,0.4602649006622517,Striking vs Striking,-7.0,-1.0,0.0,0.0,0.05037339721008871,-0.4166666666666667,0
4929,gilbert-burns,1,22,8,0.11926605504587157,Grappling,34.0,1,0.48511749347258487,stephen-thompson,17,8,Striking,37.0,1,0.4166666666666667,0.4602649006622517,Grappling vs Striking,-3.0,-2.0,0.0,-4.0,0.024852592810333196,-0.2974006116207951,0
1281,belal-muhammad,1,24,3,0.13636363636363635,Striking,33.0,6,0.43697183098591547,stephen-thompson,17,8,Striking,38.0,2,0.4166666666666667,0.4602649006622517,Striking vs Striking,-5.0,-1.0,-2.0,-3.0,-0.02329306967633621,-0.28030303030303033,4
7682,kevin-holland,0,26,13,0.0,Striking,29.0,-2,0.49611694837825493,stephen-thompson,17,8,Striking,38.0,-1,0.4166666666666667,0.4602649006622517,Striking vs Striking,-9.0,3.0,12.5,6.0,0.035852047716003255,-0.4166666666666667,-1
